1,1485.20
2,1583.81
3,1592.98
4,1647.66
5,1683.80
6,1658.98
7,1590.03
8,1646.57
9,1686.50
10,1691.11
11,1748.23
12,1789.52
13,2007.84
14,2055.40
15,2205.61
16,2423.57
17,2759.53
18,3008.72
19,2823.67
20,2738.10
21,2686.70
22,2808.43
23,2845.00
24,2894.86
25,3007.38
26,3122.80
27,3148.37
28,3175.21
29,3253.70
30,3380.07
31,3399.21
32,3243.20
33,3513.23
34,3614.21
35,3799.98
36,3857.70
37,4059.76
38,4269.34
39,4578.43
40,4727.52
41,4982.40
42,5094.41
43,6370.00
44,8045.86
45,7197.61
46,7712.10
47,7695.66
48,7602.36
49,7500.39
50,7029.18
51,6675.11
52,5969.66
53,5676.45
54,6452.48
55,7766.47
56,7682.17
57,7475.88
58,7973.91
59,7513.50
60,7648.98
61,8008.43
62,6966.70
63,6587.67
64,7061.02
65,7887.69
66,8439.29
67,8684.93
68,8382.75
69,8260.60
70,8414.04
71,7634.70
72,6990.86
73,4925.70
74,3717.00
75,3071.98
76,3220.69
77,3314.73
78,3749.75
79,4406.55
80,4568.63
81,5013.95
82,5215.54
83,6165.30
84,6196.43
85,6287.98
86,6675.60
87,6981.71
88,7386.25
89,6848.18
90,7462.83
91,7745.08
92,6837.68
93,6499.30
94,6735.25
95,7283.95
96,7709.30
97,8292.40
98,8469.89
99,9147.26
100,9555.70
101,9867.60
102,9530.65
103,9483.25
104,8927.05
105,9045.43
106,9619.24
107,9041.30
108,8314.84
109,7347.50
110,7551.77
112,7567.55
113,8043.45
114,8422.69
